id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
02050802,02,05,08,02,20813,6313,16174,14500,1674,4639,100.0,30.332004035939075,77.71104598087733,69.66799596406092,8.043050016816412,22.288954019122663
02050803,02,05,08,03,7208,2225,5649,4983,666,1559,100.0,30.868479467258602,78.37125416204216,69.13152053274139,9.239733629300776,21.628745837957826
02050804,02,05,08,04,4470,1015,3903,3455,448,567,100.0,22.706935123042506,87.31543624161074,77.2930648769575,10.022371364653244,12.684563758389261
03010101,03,01,01,01,4036,483,3709,3553,156,327,100.0,11.967294350842419,91.89791873141725,88.03270564915758,3.865213082259663,8.102081268582754
03010102,03,01,01,02,12319,2229,10558,10090,468,1761,100.0,18.09400113645588,85.70500852341911,81.90599886354411,3.7990096598749896,14.29499147658089
03010104,03,01,01,04,229,52,199,177,22,30,100.0,22.707423580786028,86.8995633187773,77.29257641921397,9.606986899563319,13.100436681222707
03020203,03,02,02,03,2169,208,2035,1961,74,134,100.0,9.58967266021208,93.82203780544029,90.41032733978793,3.4117104656523742,6.177962194559705
03020209,03,02,02,09,14963,2220,13629,12743,886,1334,100.0,14.836596939116486,91.08467553298135,85.16340306088351,5.921272472097841,8.915324467018646
03020210,03,02,02,10,11290,1479,10442,9811,631,848,100.0,13.100088573959257,92.488928255093,86.89991142604075,5.589016829052259,7.511071744906997
03020307,03,02,03,07,18246,2204,17355,16042,1313,891,100.0,12.079359859695275,95.11673791515949,87.92064014030473,7.1960977748547625,4.8832620848405135
03030405,03,03,04,05,11426,1746,10406,9680,726,1020,100.0,15.280938211097498,91.07299142307019,84.71906178890251,6.353929634167688,8.92700857692981
03030406,03,03,04,06,8185,608,7910,7577,333,275,100.0,7.4282223579719,96.64019547953573,92.5717776420281,4.068417837507636,3.3598045204642637
03030711,03,03,07,11,6855,404,6671,6451,220,184,100.0,5.893508388037929,97.31582786287382,94.10649161196207,3.209336250911744,2.6841721371261853
03030715,03,03,07,15,7509,1287,6594,6222,372,915,100.0,17.13943268078306,87.81462245305633,82.86056731921694,4.954055133839392,12.185377546943668
03030716,03,03,07,16,1123,31,1107,1092,15,16,100.0,2.7604630454140695,98.57524487978628,97.23953695458593,1.335707925200356,1.4247551202137132
03040508,03,04,05,08,4611,902,4331,3709,622,280,100.0,19.561917154630233,93.92756451962698,80.43808284536976,13.489481674257211,6.072435480373021
03040512,03,04,05,12,9826,1388,9171,8438,733,655,100.0,14.125788723794017,93.3340118054142,85.87421127620598,7.459800529208223,6.665988194585792
03040513,03,04,05,13,3386,453,3165,2933,232,221,100.0,13.378617838157117,93.47312463083284,86.62138216184289,6.851742468989959,6.5268753691671595
03040614,03,04,06,14,35951,4905,33203,31046,2157,2748,100.0,13.643570415287476,92.35626269088482,86.35642958471253,5.99983310617229,7.643737309115184
03040818,03,04,08,18,34461,5269,31019,29192,1827,3442,100.0,15.289747830881288,90.01189750732712,84.71025216911872,5.301645338208409,9.988102492672876
03050919,03,05,09,19,5583,1037,4749,4546,203,834,100.0,18.574243238402293,85.06179473401397,81.42575676159771,3.636037972416264,14.93820526598603
03050920,03,05,09,20,7383,990,6798,6393,405,585,100.0,13.40918325883787,92.0763917106867,86.59081674116213,5.485574969524584,7.923608289313287
03050923,03,05,09,23,9385,1845,8140,7540,600,1245,100.0,19.659030367607887,86.73415023974427,80.34096963239212,6.393180607352157,13.265849760255726
03050924,03,05,09,24,6091,1399,5081,4692,389,1010,100.0,22.9683139057626,83.41815793794123,77.0316860942374,6.386471843703825,16.581842062058776
03050925,03,05,09,25,9692,1657,8630,8035,595,1062,100.0,17.096574494428392,89.04250928600908,82.9034255055716,6.139083780437474,10.957490713990921
03051017,03,05,10,17,4236,794,3659,3442,217,577,100.0,18.744098205854577,86.37865911237016,81.25590179414543,5.12275731822474,13.62134088762984
03051021,03,05,10,21,6506,683,6026,5823,203,480,100.0,10.498001844451275,92.62219489701813,89.50199815554872,3.1201967414694125,7.377805102981863
03051022,03,05,10,22,4561,319,4379,4242,137,182,100.0,6.994080245560184,96.00964700723526,93.00591975443982,3.0037272527954397,3.9903529927647443
03061126,03,06,11,26,15220,4078,12429,11142,1287,2791,100.0,26.793692509855454,81.6622864651774,73.20630749014455,8.455978975032853,18.3377135348226
03061131,03,06,11,31,10691,3490,8221,7201,1020,2470,100.0,32.64428023571228,76.89645496211767,67.35571976428771,9.54073519782995,23.10354503788233
03061227,03,06,12,27,14581,3591,12234,10990,1244,2347,100.0,24.627940470475277,83.90371030793499,75.37205952952473,8.53165077841026,16.096289692065017
03061228,03,06,12,28,12640,2758,10751,9882,869,1889,100.0,21.819620253164558,85.05537974683544,78.18037974683544,6.875000000000001,14.944620253164556
03061332,03,06,13,32,22670,6819,18140,15851,2289,4530,100.0,30.079400088222318,80.01764446404941,69.92059991177769,10.097044552271726,19.982355535950596
