id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
02050804,02,05,08,04,4592,476,400,104,257,1749,756,355,495,2225,586,100.0,10.365853658536585,8.710801393728223,2.264808362369338,5.596689895470383,38.08797909407666,16.463414634146343,7.730836236933798,10.779616724738677,48.45383275261324,12.761324041811847
03010101,03,01,01,01,4063,365,314,77,248,1281,589,539,650,2004,358,100.0,8.983509721880385,7.728279596357371,1.8951513659857249,6.103864139798178,31.528427270489782,14.496677332020674,13.266059561900073,15.998031011567807,49.32316022643367,8.811223234063501
03010102,03,01,01,02,12313,827,1051,327,1115,3072,1344,1436,3141,6313,1778,100.0,6.716478518638837,8.535693981970276,2.6557297165597333,9.0554698286364,24.94924063997401,10.91529277998863,11.662470559571185,25.50962397466093,51.27101437505076,14.440022740193292
03010104,03,01,01,04,222,16,19,7,18,88,57,13,4,91,26,100.0,7.207207207207207,8.558558558558559,3.153153153153153,8.108108108108109,39.63963963963964,25.675675675675674,5.8558558558558556,1.8018018018018018,40.99099099099099,11.711711711711711
03020203,03,02,02,03,2315,139,227,60,147,460,374,377,531,1131,292,100.0,6.004319654427646,9.805615550755938,2.591792656587473,6.3498920086393085,19.870410367170628,16.15550755939525,16.285097192224622,22.937365010799134,48.855291576673864,12.613390928725702
03020209,03,02,02,09,14956,1010,1451,392,1226,3757,2656,1866,2598,7719,1378,100.0,6.753142551484354,9.701791922974056,2.6210216635464025,8.197378978336452,25.120353035571007,17.75875902647767,12.476598020861193,17.370954800748866,51.61139342070072,9.21369350093608
03020210,03,02,02,10,11372,822,1094,302,711,3011,2067,1471,1894,5786,910,100.0,7.228279985930356,9.620119591980302,2.655645444952515,6.252198381990855,26.477312697854376,18.176222300386915,12.935279634189238,16.65494196271544,50.87935279634189,8.002110446711221
03020307,03,02,03,07,18242,1247,1751,559,1189,4395,3225,2712,3164,9319,930,100.0,6.835873259511019,9.598728209626138,3.064356978401491,6.5179256660453895,24.092752987611007,17.67898256770091,14.86679092204802,17.344589409056024,51.08540730183094,5.0981252055695645
03030405,03,03,04,05,11462,1054,1158,317,888,3359,1561,1285,1840,5948,1082,100.0,9.195602861629732,10.102948874541964,2.7656604432036294,7.747339033327518,29.30553132088641,13.618914674576862,11.210957948002093,16.053044843831792,51.893212353864946,9.439888326644565
03030406,03,03,04,06,8143,405,664,249,494,1472,1508,1500,1851,4169,267,100.0,4.973596954439396,8.154242908019157,3.0578410905071842,6.066560235785337,18.076875844283432,18.518973351344712,18.42072946088665,22.731180154734126,51.197347414957626,3.2788898440378236
03030711,03,03,07,11,6845,353,606,190,382,1268,1275,1200,1571,3436,184,100.0,5.157048940832724,8.853177501826151,2.7757487216946677,5.580715850986121,18.524470416362306,18.62673484295106,17.531044558071585,22.951059167275385,50.19722425127831,2.6880934989043097
03030715,03,03,07,15,7661,462,597,223,667,1685,1351,1167,1509,3659,1017,100.0,6.030544315363529,7.792716355567158,2.91084714789192,8.7064351912283,21.994517686986033,17.634773528260016,15.232998303093591,19.69716747160945,47.761388852630205,13.275029369534003
03030716,03,03,07,16,1138,33,81,24,42,179,215,204,360,578,24,100.0,2.899824253075571,7.117750439367311,2.10896309314587,3.690685413005272,15.729349736379614,18.89279437609842,17.926186291739896,31.63444639718805,50.790861159929705,2.10896309314587
03040508,03,04,05,08,4615,292,479,180,372,969,895,683,745,2278,286,100.0,6.327193932827736,10.379198266522211,3.9003250270855903,8.060671722643553,20.996749729144096,19.39328277356446,14.799566630552546,16.143011917659805,49.360780065005414,6.197183098591549
03040512,03,04,05,12,9951,508,819,286,722,2272,1752,1326,2266,5207,704,100.0,5.10501457139986,8.23032861018993,2.8740830067329917,7.255552205808462,22.8318761933474,17.606270726560144,13.325293940307507,22.7715807456537,52.32639935684856,7.074665862727364
03040513,03,04,05,13,3375,161,401,129,264,682,642,431,665,1762,230,100.0,4.770370370370371,11.881481481481481,3.822222222222222,7.822222222222222,20.20740740740741,19.022222222222222,12.77037037037037,19.703703703703702,52.2074074074074,6.814814814814815
