id,district_id,forecast_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
1030,10,30,30974,1735,2624,767,2550,6959,3610,5029,7700,15621,4132,100.0,5.601472202492412,8.471621359850197,2.4762704203525536,8.232711306256862,22.46723058048686,11.654936398269516,16.23619810163363,24.85955963065797,50.43262090785821,13.34022083037386
1040,10,40,50247,2474,4702,1334,2913,9686,6493,10118,12527,25401,2763,100.0,4.923677035444903,9.357772603339502,2.654884868748383,5.797361036479789,19.276772742651303,12.922164507333772,20.136525563715246,24.930841642287103,50.55227177741954,5.4988357513881425
1110,11,10,65337,4320,6645,1941,5820,17251,6607,9991,12762,32821,15830,100.0,6.61187382340787,10.170347582533633,2.9707516414895085,8.907663345424492,26.403110029539157,10.112187581309213,15.291488742978709,19.532577253317417,50.233405268071685,24.22823208901541
1120,11,20,51898,3410,4993,1403,4574,14468,5982,6388,10680,26366,11860,100.0,6.5705807545570165,9.620794635631432,2.7033797063470653,8.813441751127211,27.877760221973872,11.526455740105591,12.308759489768391,20.57882770048942,50.80349917145169,22.852518401479827
1130,11,30,79031,4580,5835,1598,8906,26727,8386,8227,14772,39189,22694,100.0,5.7951942908478955,7.383178752641369,2.021991370474877,11.268995710543964,33.818375068011285,10.611026053067784,10.409839177031797,18.691399577381027,49.58687097468082,28.715314243777755
1140,11,40,79994,4963,5935,1601,8057,28220,8177,8026,15015,40295,19233,100.0,6.204215316148711,7.419306447983599,2.0014001050078756,10.07200540040503,35.27764582343676,10.222016651248843,10.033252493937045,18.770157761832138,50.37252793959547,24.043053228992175
1150,11,50,35621,2581,3896,1034,3248,10779,4535,4297,5251,18195,6329,100.0,7.245725835883328,10.937368406277196,2.902782066758373,9.118216782235198,30.26023974621712,12.731254035540832,12.06310884029084,14.741304286797114,51.07941944358665,17.767608994694143
1210,12,10,56440,3359,4336,1381,6547,16992,6385,7573,9867,28115,17786,100.0,5.951452870304749,7.682494684620836,2.4468462083628633,11.599929128277816,30.106307583274273,11.312898653437278,13.417788802267896,17.48228206945429,49.81396172927003,31.513111268603826
1220,12,20,55580,3149,4347,1364,5820,14781,6466,7802,11851,27837,15664,100.0,5.665707088880892,7.821158690176322,2.454120187117668,10.471392587261604,26.59409859661749,11.633681180280677,14.037423533645196,21.32241813602015,50.08456279237136,28.18279956819
1240,12,40,57543,2668,5244,1730,4099,9076,7080,10139,17507,29787,4581,100.0,4.636532679908938,9.113184922579636,3.006447352414716,7.123368611299376,15.77255269972021,12.303842343986236,17.61986688215769,30.4242045079332,51.76476721755904,7.961003075960586
1250,12,50,48646,2371,3556,1059,4411,11220,5565,7953,12511,24637,7722,100.0,4.873987583768449,7.30995354191506,2.1769518562677304,9.067549233236031,23.0645890720717,11.439789499650537,16.348723430497884,25.71845578259261,50.64547958722198,15.873864243719934
1260,12,60,50583,3445,5910,1947,5706,11600,5811,6063,10101,25892,14064,100.0,6.81058853765099,11.683767273589941,3.849119269319732,11.280469723029476,22.9326058161833,11.48804934464148,11.98624043651029,19.969159599074786,51.18715774074294,27.803807603345
