district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
1,1,14,1,17771,100.0,7829.0,44.1,12333.0,69.4,9942.0,55.9,2391.0,13.5,5438.0,30.6
1,1,14,2,13443,100.0,5433.0,40.4,9824.0,73.1,8010.0,59.6,1814.0,13.5,3619.0,26.9
1,2,21,1,3450,100.0,1929.0,55.9,2151.0,62.3,1521.0,44.1,630.0,18.3,1299.0,37.7
1,2,21,2,6866,100.0,4318.0,62.9,3879.0,56.5,2548.0,37.1,1331.0,19.4,2987.0,43.5
1,2,21,3,275,100.0,218.0,79.3,101.0,36.7,57.0,20.7,44.0,16.0,174.0,63.3
1,2,21,4,18536,100.0,9423.0,50.8,12473.0,67.3,9113.0,49.2,3360.0,18.1,6063.0,32.7
1,2,21,5,5235,100.0,3087.0,59.0,3315.0,63.3,2148.0,41.0,1167.0,22.3,1920.0,36.7
1,2,21,6,11333,100.0,4035.0,35.6,9066.0,80.0,7298.0,64.4,1768.0,15.6,2267.0,20.0
1,2,22,1,10825,100.0,5466.0,50.5,7505.0,69.3,5359.0,49.5,2146.0,19.8,3320.0,30.7
1,2,22,2,5178,100.0,3486.0,67.3,2838.0,54.8,1692.0,32.7,1146.0,22.1,2340.0,45.2
1,2,22,3,6976,100.0,4169.0,59.8,4602.0,66.0,2807.0,40.2,1795.0,25.7,2374.0,34.0
1,2,22,4,5935,100.0,2546.0,42.9,4408.0,74.3,3389.0,57.1,1019.0,17.2,1527.0,25.7
1,2,22,5,3280,100.0,2125.0,64.8,2190.0,66.8,1155.0,35.2,1035.0,31.6,1090.0,33.2
1,2,22,6,3132,100.0,1328.0,42.4,2419.0,77.2,1804.0,57.6,615.0,19.6,713.0,22.8
1,2,22,7,5807,100.0,2781.0,47.9,3829.0,65.9,3026.0,52.1,803.0,13.8,1978.0,34.1
1,3,31,1,26381,100.0,16815.0,63.7,15536.0,58.9,9566.0,36.3,5970.0,22.6,10845.0,41.1
1,3,31,2,11665,100.0,7224.0,61.9,7246.0,62.1,4441.0,38.1,2805.0,24.0,4419.0,37.9
1,3,32,1,14193,100.0,9418.0,66.4,9890.0,69.7,4775.0,33.6,5115.0,36.0,4303.0,30.3
1,3,32,2,10443,100.0,6224.0,59.6,7287.0,69.8,4219.0,40.4,3068.0,29.4,3156.0,30.2
1,3,32,3,14657,100.0,9466.0,64.6,8805.0,60.1,5191.0,35.4,3614.0,24.7,5852.0,39.9
1,4,41,1,20529,100.0,10333.0,50.3,14067.0,68.5,10196.0,49.7,3871.0,18.9,6462.0,31.5
1,4,41,2,16506,100.0,7160.0,43.4,12340.0,74.8,9346.0,56.6,2994.0,18.1,4166.0,25.2
1,4,41,3,8643,100.0,4643.0,53.7,5477.0,63.4,4000.0,46.3,1477.0,17.1,3166.0,36.6
1,4,42,1,23685,100.0,16244.0,68.6,13508.0,57.0,7441.0,31.4,6067.0,25.6,10177.0,43.0
1,4,42,2,16648,100.0,9796.0,58.8,9894.0,59.4,6852.0,41.2,3042.0,18.3,6754.0,40.6
1,4,42,3,15787,100.0,9459.0,59.9,9581.0,60.7,6328.0,40.1,3253.0,20.6,6206.0,39.3
2,1,1,1,6281,100.0,4366.0,69.5,3741.0,59.6,1915.0,30.5,1826.0,29.1,2540.0,40.4
2,1,1,2,14029,100.0,9558.0,68.1,9270.0,66.1,4471.0,31.9,4799.0,34.2,4759.0,33.9
2,1,1,3,15171,100.0,10702.0,70.5,9768.0,64.4,4469.0,29.5,5299.0,34.9,5403.0,35.6
2,1,1,4,5009,100.0,3273.0,65.3,3411.0,68.1,1736.0,34.7,1675.0,33.4,1598.0,31.9
2,2,2,1,2067,100.0,829.0,40.1,1587.0,76.8,1238.0,59.9,349.0,16.9,480.0,23.2
2,2,2,2,6008,100.0,2663.0,44.3,4317.0,71.9,3345.0,55.7,972.0,16.2,1691.0,28.1
2,2,2,3,10969,100.0,4456.0,40.6,8242.0,75.1,6513.0,59.4,1729.0,15.8,2727.0,24.9
2,2,2,4,12384,100.0,5420.0,43.8,8951.0,72.3,6964.0,56.2,1987.0,16.0,3433.0,27.7
2,2,2,5,14760,100.0,6176.0,41.8,11116.0,75.3,8584.0,58.2,2532.0,17.2,3644.0,24.7
2,2,2,6,18886,100.0,9019.0,47.8,13547.0,71.7,9867.0,52.2,3680.0,19.5,5339.0,28.3
2,3,3,1,8775,100.0,5537.0,63.1,5503.0,62.7,3238.0,36.9,2265.0,25.8,3272.0,37.3
2,3,3,2,12938,100.0,7120.0,55.0,8677.0,67.1,5818.0,45.0,2859.0,22.1,4261.0,32.9
2,3,4,1,14955,100.0,7436.0,49.7,10193.0,68.2,7519.0,50.3,2674.0,17.9,4762.0,31.8
2,3,4,2,10903,100.0,5590.0,51.3,7269.0,66.7,5313.0,48.7,1956.0,17.9,3634.0,33.3
2,4,5,1,5451,100.0,1726.0,31.7,4487.0,82.3,3725.0,68.3,762.0,14.0,964.0,17.7
2,4,5,2,7858,100.0,2670.0,34.0,6179.0,78.6,5188.0,66.0,991.0,12.6,1679.0,21.4
2,4,5,3,11262,100.0,3329.0,29.6,9130.0,81.1,7933.0,70.4,1197.0,10.6,2132.0,18.9
2,4,7,1,13307,100.0,6080.0,45.7,9371.0,70.4,7227.0,54.3,2144.0,16.1,3936.0,29.6
2,4,7,2,11314,100.0,3783.0,33.4,8607.0,76.1,7531.0,66.6,1076.0,9.5,2707.0,23.9
2,4,7,3,1136,100.0,782.0,68.8,445.0,39.2,354.0,31.2,91.0,8.0,691.0,60.8
2,5,6,1,9134,100.0,3266.0,35.8,6839.0,74.9,5868.0,64.2,971.0,10.6,2295.0,25.1
2,5,6,2,22173,100.0,7575.0,34.2,16914.0,76.3,14598.0,65.8,2316.0,10.4,5259.0,23.7
2,5,8,1,20872,100.0,8202.0,39.3,14992.0,71.8,12670.0,60.7,2322.0,11.1,5880.0,28.2
2,5,8,2,21568,100.0,7742.0,35.9,15942.0,73.9,13826.0,64.1,2116.0,9.8,5626.0,26.1
2,5,8,3,7868,100.0,3007.0,38.2,5719.0,72.7,4861.0,61.8,858.0,10.9,2149.0,27.3
2,5,8,4,4709,100.0,1078.0,22.9,4207.0,89.3,3631.0,77.1,576.0,12.2,502.0,10.7
