district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
2,50,7,26,9134,100.0,3266.0,35.8,6839.0,74.9,5868.0,64.2,971.0,10.6,2295.0,25.1
2,50,7,27,6623,100.0,2422.0,36.6,4906.0,74.1,4201.0,63.4,705.0,10.6,1717.0,25.9
2,50,7,28,10109,100.0,3338.0,33.0,7756.0,76.7,6771.0,67.0,985.0,9.7,2353.0,23.3
2,50,7,29,5441,100.0,1815.0,33.4,4252.0,78.1,3626.0,66.6,626.0,11.5,1189.0,21.9
2,50,8,30,3931,100.0,1509.0,38.4,2900.0,73.8,2422.0,61.6,478.0,12.2,1031.0,26.2
2,50,8,31,7877,100.0,2975.0,37.8,5727.0,72.7,4902.0,62.2,825.0,10.5,2150.0,27.3
2,50,8,32,9064,100.0,3718.0,41.0,6365.0,70.2,5346.0,59.0,1019.0,11.2,2699.0,29.8
2,50,8,33,10190,100.0,3777.0,37.1,7335.0,72.0,6413.0,62.9,922.0,9.0,2855.0,28.0
2,50,8,34,11378,100.0,3965.0,34.8,8607.0,75.6,7413.0,65.2,1194.0,10.5,2771.0,24.4
2,50,8,35,7868,100.0,3007.0,38.2,5719.0,72.7,4861.0,61.8,858.0,10.9,2149.0,27.3
2,50,8,36,4709,100.0,1078.0,22.9,4207.0,89.3,3631.0,77.1,576.0,12.2,502.0,10.7
3,10,1,1,4499,100.0,777.0,17.3,3999.0,88.9,3722.0,82.7,277.0,6.2,500.0,11.1
3,10,1,2,3214,100.0,874.0,27.2,2584.0,80.4,2340.0,72.8,244.0,7.6,630.0,19.6
3,10,1,3,8979,100.0,1656.0,18.4,7764.0,86.5,7323.0,81.6,441.0,4.9,1215.0,13.5
3,20,2,4,2058,100.0,127.0,6.2,2011.0,97.7,1931.0,93.8,80.0,3.9,47.0,2.3
3,20,2,5,8696,100.0,1393.0,16.0,7953.0,91.5,7303.0,84.0,650.0,7.5,743.0,8.5
3,20,2,6,6404,100.0,1242.0,19.4,5620.0,87.8,5162.0,80.6,458.0,7.2,784.0,12.2
3,20,2,7,11464,100.0,1922.0,16.8,10378.0,90.5,9542.0,83.2,836.0,7.3,1086.0,9.5
3,20,3,8,5220,100.0,672.0,12.9,4933.0,94.5,4548.0,87.1,385.0,7.4,287.0,5.5
3,20,3,9,5238,100.0,778.0,14.9,4842.0,92.4,4460.0,85.1,382.0,7.3,396.0,7.6
3,20,3,10,7961,100.0,1250.0,15.7,7420.0,93.2,6711.0,84.3,709.0,8.9,541.0,6.8
3,30,4,11,11455,100.0,2264.0,19.8,10120.0,88.3,9191.0,80.2,929.0,8.1,1335.0,11.7
3,30,4,12,5138,100.0,485.0,9.4,4926.0,95.9,4653.0,90.6,273.0,5.3,212.0,4.1
3,30,4,13,3101,100.0,288.0,9.3,2981.0,96.1,2813.0,90.7,168.0,5.4,120.0,3.9
3,30,5,14,6875,100.0,603.0,8.8,6617.0,96.2,6272.0,91.2,345.0,5.0,258.0,3.8
3,30,5,15,38,100.0,0.0,0.0,38.0,100.0,38.0,100.0,0.0,0.0,0.0,0.0
3,30,5,16,7779,100.0,1591.0,20.5,6694.0,86.1,6188.0,79.5,506.0,6.5,1085.0,13.9
3,30,5,17,1120,100.0,48.0,4.3,1103.0,98.5,1072.0,95.7,31.0,2.8,17.0,1.5
3,40,6,18,4742,100.0,999.0,21.1,4404.0,92.9,3743.0,78.9,661.0,13.9,338.0,7.1
3,40,6,19,10438,100.0,1998.0,19.1,9449.0,90.5,8440.0,80.9,1009.0,9.7,989.0,9.5
3,40,6,20,3509,100.0,652.0,18.6,3189.0,90.9,2857.0,81.4,332.0,9.5,320.0,9.1
3,40,7,21,11438,100.0,2316.0,20.2,10155.0,88.8,9122.0,79.8,1033.0,9.0,1283.0,11.2
3,40,7,22,3607,100.0,571.0,15.8,3343.0,92.7,3036.0,84.2,307.0,8.5,264.0,7.3
3,40,7,23,7112,100.0,1622.0,22.8,6166.0,86.7,5490.0,77.2,676.0,9.5,946.0,13.3
3,40,7,24,7633,100.0,1049.0,13.7,7049.0,92.3,6584.0,86.3,465.0,6.1,584.0,7.7
3,40,7,25,7450,100.0,1010.0,13.6,6898.0,92.6,6440.0,86.4,458.0,6.1,552.0,7.4
3,40,8,26,6620,100.0,1254.0,18.9,5758.0,87.0,5366.0,81.1,392.0,5.9,862.0,13.0
3,40,8,27,9628,100.0,2273.0,23.6,8129.0,84.4,7355.0,76.4,774.0,8.0,1499.0,15.6
3,40,8,28,4615,100.0,1073.0,23.3,3877.0,84.0,3542.0,76.7,335.0,7.3,738.0,16.0
3,40,8,29,5583,100.0,970.0,17.4,4994.0,89.5,4613.0,82.6,381.0,6.8,589.0,10.5
3,40,8,30,9292,100.0,1467.0,15.8,8455.0,91.0,7825.0,84.2,630.0,6.8,837.0,9.0
3,40,8,31,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50,9,32,5096,100.0,710.0,13.9,4612.0,90.5,4386.0,86.1,226.0,4.4,484.0,9.5
3,50,9,33,7551,100.0,1302.0,17.2,6776.0,89.7,6249.0,82.8,527.0,7.0,775.0,10.3
3,50,9,34,10049,100.0,2608.0,26.0,8325.0,82.8,7441.0,74.0,884.0,8.8,1724.0,17.2
3,50,9,35,6407,100.0,1628.0,25.4,5306.0,82.8,4779.0,74.6,527.0,8.2,1101.0,17.2
3,50,9,36,9819,100.0,2052.0,20.9,8506.0,86.6,7767.0,79.1,739.0,7.5,1313.0,13.4
3,50,10,37,8509,100.0,1656.0,19.5,7382.0,86.8,6853.0,80.5,529.0,6.2,1127.0,13.2
3,50,10,38,7324,100.0,992.0,13.5,6694.0,91.4,6332.0,86.5,362.0,4.9,630.0,8.6
3,60,11,39,3795,100.0,1323.0,34.9,2898.0,76.4,2472.0,65.1,426.0,11.2,897.0,23.6
3,60,11,40,5884,100.0,1805.0,30.7,4673.0,79.4,4079.0,69.3,594.0,10.1,1211.0,20.6
3,60,11,41,6576,100.0,2196.0,33.4,5086.0,77.3,4380.0,66.6,706.0,10.7,1490.0,22.7
3,60,11,42,10744,100.0,3798.0,35.3,8137.0,75.7,6946.0,64.7,1191.0,11.1,2607.0,24.3
3,60,12,43,7032,100.0,2064.0,29.4,5698.0,81.0,4968.0,70.6,730.0,10.4,1334.0,19.0
3,60,12,44,7600,100.0,2037.0,26.8,6258.0,82.3,5563.0,73.2,695.0,9.1,1342.0,17.7
3,60,12,45,12813,100.0,3459.0,27.0,10508.0,82.0,9354.0,73.0,1154.0,9.0,2305.0,18.0
3,60,13,46,5470,100.0,1822.0,33.3,4293.0,78.5,3648.0,66.7,645.0,11.8,1177.0,21.5
