id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
02030401,15362,7527,10458,7835,2623,4904,15362,939,1037,302,1555,6268,2307,1617,1337,7413,4904,7527,492,646,219,938,3150,987,500,595,3591,4904,7527,2471,282,103,389,155,224,255,251,130,76,40,262,63,92,164,49,21,22,2849,2088,54,532,126,105,21,326,519
02030402,11112,5603,7448,5509,1939,3664,11112,654,719,211,1190,4627,1654,1145,912,5316,3664,5603,347,456,132,692,2322,745,381,528,2662,3664,5603,1877,233,85,308,107,177,205,214,121,36,47,149,20,54,145,59,24,6,2161,1813,37,192,60,43,12,205,436
02040501,5350,1482,4536,3868,668,814,5350,254,376,103,357,1204,669,665,1722,2804,814,1482,149,203,59,169,475,185,114,128,768,814,1482,386,22,3,40,21,12,22,95,56,21,6,40,3,13,194,92,27,16,300,46,10,153,9,47,317,29,52
02040502,7333,2155,5983,5178,805,1350,7333,427,416,104,719,2717,894,707,1349,3755,1350,2155,191,228,39,318,895,221,128,135,1104,1350,2155,747,56,16,81,46,62,52,130,59,39,18,109,16,38,285,110,44,39,338,62,16,154,9,60,307,44,85
02040503,11161,2932,9270,8229,1041,1891,11161,816,620,142,1005,4970,1389,880,1339,5549,1891,2932,303,224,55,415,1427,267,117,124,1423,1891,2932,1292,140,52,156,65,94,110,243,42,44,40,129,37,30,227,103,39,33,372,85,21,156,12,54,285,116,96
02040701,12662,5096,9427,7566,1861,3235,12662,749,723,233,1556,4103,1334,1271,2693,6483,3235,5096,474,458,149,994,1941,465,305,310,2501,3235,5096,1255,80,37,103,37,89,67,296,174,58,12,331,57,93,723,307,126,70,1367,307,49,580,34,196,565,70,159
02040702,10842,2898,8897,7944,953,1945,10842,615,671,148,1057,4736,1466,934,1215,5240,1945,2898,212,205,46,530,1463,211,144,87,1376,1945,2898,1359,145,41,211,68,161,118,177,60,49,42,102,12,25,248,121,39,35,404,97,17,145,12,35,88,143,46
02040703,1164,797,468,367,101,696,1164,96,105,23,186,607,68,54,25,505,696,797,87,95,20,127,391,43,21,13,345,696,797,456,6,12,23,3,32,20,49,13,242,7,28,3,0,87,31,15,0,113,50,6,30,0,14,6,14,25
02050601,9065,2791,7098,6274,824,1967,9065,628,442,93,961,4851,1020,557,513,4211,1967,2791,251,162,32,425,1564,203,86,68,1314,1967,2791,1256,157,38,199,67,122,112,166,47,43,12,121,35,42,265,86,64,19,373,76,19,145,19,62,167,124,59
02050602,21634,6508,17080,15126,1954,4554,21634,1591,1398,346,2071,11123,2716,1346,1043,10460,4554,6508,566,467,119,894,3529,529,239,165,3197,4554,6508,3224,430,93,490,218,311,284,383,110,122,68,252,74,56,591,220,104,86,824,171,24,410,39,140,285,328,73
02050801,19532,6596,14754,12936,1818,4778,19532,1261,1196,292,2236,10285,2265,1129,868,9296,4778,6596,521,493,145,1048,3532,529,232,96,3134,4778,6596,2897,357,82,466,158,316,242,300,111,111,42,319,101,97,479,194,76,72,1085,177,33,594,9,282,362,261,164
02050802,21150,6617,16303,14533,1770,4847,21150,1431,1137,240,2228,11679,2627,1058,750,10104,4847,6617,482,342,52,1045,3925,462,186,123,3175,4847,6617,3552,516,81,564,190,332,407,405,95,118,34,168,40,53,463,184,79,51,717,187,61,251,18,102,95,349,121
02050803,7468,2457,5746,5011,735,1722,7468,501,351,80,915,3879,737,515,490,3535,1722,2457,214,113,25,434,1367,176,84,44,1131,1722,2457,1239,129,56,195,51,114,98,160,40,95,42,88,6,18,228,94,59,23,360,128,15,128,13,41,44,90,78
02050804,4592,1070,4006,3522,484,586,4592,476,400,104,257,1749,756,355,495,2225,586,1070,162,99,31,114,443,105,51,65,499,586,1070,417,35,25,24,28,24,35,63,15,24,9,42,3,27,103,44,18,6,222,34,10,139,6,23,40,37,39
03010101,4063,557,3705,3506,199,358,4063,365,314,77,248,1281,589,539,650,2004,358,557,65,54,14,49,234,55,32,54,267,358,557,232,3,0,9,20,10,7,82,35,12,6,44,18,14,97,49,27,6,87,16,13,42,0,9,6,15,0
03010102,12313,2359,10535,9954,581,1778,12313,827,1051,327,1115,3072,1344,1436,3141,6313,1778,2359,287,270,77,417,808,173,143,184,984,1778,2359,535,16,6,19,6,9,16,279,34,19,6,100,12,40,434,193,48,58,1173,69,52,522,18,205,53,15,16
03010104,222,47,196,175,21,26,222,16,19,7,18,88,57,13,4,91,26,47,4,10,0,0,24,9,0,0,13,26,47,39,0,3,3,3,4,3,6,0,4,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0
