district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
4,4,13,44,10771,487.0,695.0,265.0,912.0,2302.0,1623.0,1586.0,2901.0,5818.0,1800.0
4,5,14,45,6437,324.0,398.0,137.0,631.0,1727.0,888.0,924.0,1408.0,3379.0,1567.0
4,5,14,46,10980,520.0,677.0,208.0,922.0,2734.0,1475.0,1620.0,2824.0,5605.0,2918.0
4,5,14,47,5348,230.0,286.0,118.0,484.0,1294.0,730.0,771.0,1435.0,2801.0,1352.0
4,5,14,48,9342,405.0,473.0,139.0,761.0,2458.0,1356.0,1368.0,2382.0,4691.0,2823.0
4,5,15,49,4696,292.0,343.0,107.0,490.0,1407.0,620.0,599.0,838.0,2359.0,1318.0
4,5,15,50,5690,279.0,364.0,117.0,691.0,1582.0,817.0,793.0,1047.0,2864.0,1501.0
4,5,15,51,4557,226.0,303.0,102.0,486.0,1296.0,619.0,638.0,887.0,2332.0,1165.0
4,5,16,52,9945,469.0,625.0,219.0,920.0,2417.0,1430.0,1410.0,2455.0,5199.0,2513.0
4,5,16,53,7037,277.0,424.0,146.0,617.0,1786.0,1011.0,987.0,1789.0,3555.0,1875.0
4,5,16,54,3081,107.0,166.0,31.0,281.0,811.0,380.0,440.0,865.0,1642.0,684.0
4,5,16,55,7497,395.0,479.0,151.0,825.0,2254.0,1002.0,987.0,1404.0,3748.0,1964.0
4,5,16,56,7739,390.0,582.0,184.0,815.0,2151.0,1089.0,1041.0,1487.0,3982.0,1524.0
4,6,17,57,68,0.0,3.0,0.0,11.0,3.0,16.0,12.0,23.0,24.0,14.0
5,1,1,1,10658,670.0,871.0,254.0,926.0,2584.0,1356.0,1360.0,2637.0,5634.0,1541.0
5,1,1,2,8438,645.0,544.0,141.0,961.0,2316.0,917.0,1051.0,1863.0,4337.0,1934.0
